Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
53,Stonespironw,Shalenomsha,Shalenomsha Canton,RiverFolk,RiverFolk Trade Company,Small-Paws,The Whisperers,town,15016,1738.99,1292.01,-67.03,40.04,289,17°C,Lisbon (Portugal),,,,,plaza,,,{t1:gules;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:goutte;t:gules;p:e;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Stonespironw&population=15016&size=36&seed=5864998610053&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
54,Heartfor,Heartreign,Heartreign Territory,Vaneer,Protectorate of Vaneer,Beavers,Quicksilver Mother,town,1672,1183.24,1370.28,-76.54,-27.5,2304,2°C,Anchorage (Alaska),,,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:chevron;t:azure}];charges:[{charge:wolfPassant;t:argent;p:h;t2:argent;t3:argent;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartfor&population=1672&size=16&seed=5864998610054&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
55,Nightstorm,New Fulguxoria,New Fulguxoria Colony,Meridian Chain,Meridian Chainese League,Penguins,The Whisperers,town,11074,2126.88,192.27,66.63,87.18,256,12°C,Paris (France),,port,,walls,plaza,,,{t1:or;charges:[{charge:plaice;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nightstorm&population=11074&size=32&seed=5864998610055&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.6
56,Thundercrest,,,Neutrals,undefined,Penguins,The Whisperers,town,9801,2275.52,68.72,81.65,105.25,256,8°C,Prague (Czechia),,port,,,plaza,,,{t1:or;division:{division:perBend;t:gules;line:engrailed};charges:[{charge:salmon;t:sable;p:lm;t2:sable;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Thundercrest&population=9801&size=31&seed=5864998610056&river=1&coast=1&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.53
57,Nightfang,Bonescalia,Bonescalia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,trading_post,306,629.47,97.49,78.15,-94.8,441,8°C,Prague (Czechia),,,,,plaza,,,{t1:argent;division:{division:perCross;t:gules;line:straight};ordinaries:[{ordinary:bendSinister;t:sable;line:straight}];shield:heater},null
58,Frostrices,,,Neutrals,undefined,Canid-Kin,The Whisperers,city,23018,1718.58,230.56,61.98,37.56,289,13°C,Milan (Italy),,port,citadel,walls,plaza,,,{t1:vert;charges:[{charge:drakkar;t:or;p:jeo;t2:or;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Frostrices&population=23018&size=42&seed=5864998610058&river=1&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
59,Scutainpe,Scutaimu,Scutaimu Territory,Meridian Chain,Meridian Chainese League,Stone-Scales,The Whisperers,village,11975,2431.3,647.85,11.26,124.18,324,26°C,Jakarta (Indonesia),,port,,,plaza,,,{t1:purpure;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:canton;t:or;divided:counter}];shield:heater},https://watabou.github.io/village-generator/?pop=11975&name=Scutainpe&seed=5864998610059&width=1600&height=780&style=default&tags=coast%2Chighway%2Cdense
60,Xyrax,,,Neutrals,undefined,Orcas,The Whisperers,village,3274,263.52,776.79,-4.41,-139.27,256,27°C,Mogadishu (Somalia),,port,,,plaza,,,{t1:argent;charges:[{charge:inescutcheon;t:azure;p:e;size:1.5};{charge:crossCercelee;t:argent;p:e;size:0.75}];shield:heater},https://watabou.github.io/village-generator/?pop=3274&name=Xyrax&seed=5864998610060&width=1600&height=780&style=default&tags=coast%2Chighway%2Cuncultivated%2Cno+orchards%2Cdense
61,Dradowflowra,Dradowflowra,Dradowflowra Clan,Heartlands,Heartlands Federation,Otters,The Whisperers,town,7457,1415.64,997.03,-31.18,0.75,2209,11°C,Antwerp (Belgium),,,citadel,,plaza,,,{t1:chequy-argent-purpure;charges:[{charge:wolfHeadErased;t:gules;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Dradowflowra&population=7457&size=28&seed=5864998610061&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
62,Cerureris,,,Neutrals,undefined,Walrus-Kin,Cult of Identity,village,1867,2209.82,1197.76,-55.58,97.26,1764,10°C,London (England),,,,,plaza,,,{t1:purpure;division:{division:perFess;t:argent;line:straight};ordinaries:[{ordinary:chief;t:or;line:straight}];charges:[{charge:arrow;t:purpure;p:abc;t2:purpure;t3:or;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=1867&name=Cerureris&seed=5864998610062&width=1600&height=780&style=default&tags=river%2Chighway%2Cdense
63,Mephrida,,,Neutrals,undefined,Seahorses,The Whisperers,town,3696,532.09,1367.33,-76.18,-106.63,361,16°C,Dubrovnik (Croatia),,port,citadel,walls,plaza,,,{t1:azure;charges:[{charge:crossHummetty;t:or;p:jln;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Mephrida&population=3696&size=21&seed=5864998610063&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.33
64,Mephria,Mephria,Mephria Parish,Theocracy,Holy State of Theocracy,Dolphin-Kin,Siren Song,town,1574,411.05,206.84,64.86,-121.34,324,12°C,Paris (France),,,,,plaza,temple,,{t1:argent;ordinaries:[{ordinary:cross;t:sable;line:potentyDexter}];charges:[{charge:pique;t:gules;p:acgi;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Mephria&population=1574&size=15&seed=5864998610064&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1&style=natural
65,Heartpactwea,,,Neutrals,undefined,Beavers,The Whisperers,town,3238,694.01,1276.28,-65.12,-86.96,400,16°C,Dubrovnik (Croatia),,port,,,plaza,,,{t1:pally-gules-or-small;division:{division:perSaltire;t:argent};ordinaries:[{ordinary:cross;t:purpure;line:straight}];shield:heater},https://watabou.github.io/city-generator/?name=Heartpactwea&population=3238&size=20&seed=5864998610065&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=0.53
66,Grunthor,Grunokia,Grunokia Canton,Scute,Scutean Confederacy,Manis,True Smelt,village,1414,2361.56,227.62,62.34,115.71,441,12°C,Paris (France),,,,,plaza,,,{t1:barry-sable-argent;division:{division:perBend;t:or;line:straight};ordinaries:[{ordinary:pileInBendSinister;t:azure}];shield:heater},https://watabou.github.io/village-generator/?pop=1414&name=Grunthor&seed=5864998610066&width=1400&height=683&style=default&tags=dead+end%2Cdense
67,Astheles,,,Neutrals,undefined,Dolphin-Kin,The Strangler,village,930,143.26,532.57,25.27,-153.89,361,22°C,Guangzhou (China),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:bordure;t:gules}];charges:[{charge:talbotSejant;t:azure;p:jleh;t2:purpure;t3:sable;size:0.5}];shield:heater},https://watabou.github.io/village-generator/?pop=930&name=Astheles&seed=5864998610067&width=1000&height=488&style=default&tags=coast%2Cdead+end%2Cuncultivated%2Cdense
68,Stormpelt,Murmula,Murmula Province,Prism,Prisman Protectorate,Ladybugs,The Blind Spot,town,235,1966.78,661.96,9.55,67.73,324,26°C,Jakarta (Indonesia),,,,,plaza,,,{t1:azure;division:{division:perPale;t:or;line:archedReversed};charges:[{charge:mullet;t:argent;p:ABCDEFGHIJKL;size:0.18};{charge:rake;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stormpelt&population=235&size=8&seed=5864998610068&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
69,Heartswel,Heartswel,Heartswel Land,Heartlands,Heartlands Federation,Raccoons,Wreckless Motion,village,839,1403.73,752.53,-1.46,-0.7,3249,8°C,Prague (Czechia),,,,,plaza,,,{t1:argent;charges:[{charge:crossCalvary;t:gules;p:jlh;size:0.7}];shield:heater},https://watabou.github.io/village-generator/?pop=839&name=Heartswel&seed=5864998610069&width=1000&height=488&style=default&tags=dead+end%2Cuncultivated%2Cdense
70,Heartspire,Heartspire,Heartspire Territory,Heartlands,Heartlands Federation,Quill-Kin,The Null-Equation,town,8595,1185.76,910.41,-20.65,-27.19,289,24°C,Dakar (Senegal),,,,,plaza,,,{t1:vert;charges:[{charge:hook;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Heartspire&population=8595&size=29&seed=5864998610070&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&style=natural
71,Windmawlash,Sildermeia,Sildermeia Margrave,Iron Caladra,Iron Caladran Kingdom,Widow Spiders,The Whisperers,town,5832,826.61,936.86,-23.87,-70.84,289,24°C,Dakar (Senegal),,,,walls,plaza,,,{t1:argent;charges:[{charge:earOfWheat;t:gules;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Windmawlash&population=5832&size=25&seed=5864998610071&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
72,Crystaldusk,Crystaldusk,Crystaldusk Province,Hive,Hivean Chancellery,Stinging Hive-Kin,The Whisperers,capital,372,1826,975,-28.5,50.62,484,22°C,Guangzhou (China),capital,,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:pale;t:or;line:wavy}];charges:[{charge:lighthouse;t:or;p:y;t2:or;t3:or;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Crystaldusk&population=372&size=9&seed=5864998610072&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
73,Flute,Flute,Flute County,Avian,Empire of Avian,Cardinals,Siren Song,capital,108,1277,574,20.24,-16.1,1936,13°C,Milan (Italy),capital,,citadel,walls,plaza,,,{t1:purpure;ordinaries:[{ordinary:chevron;t:argent}];charges:[{charge:escallop;t:purpure;p:h;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Flute&population=108&size=6&seed=5864998610073&river=0&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
74,Aurora,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,town,28813,270.71,1340.41,-72.91,-138.4,400,15°C,Rome (Italy),,port,,,,,,{t1:or;division:{division:perFess;t:azure;line:escartely};charges:[{charge:armillarySphere;t:sable;p:k;size:0.7};{charge:key;t:argent;p:n;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Aurora&population=28813&size=46&seed=5864998610074&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural&sea=1.21
75,Stormpelt,Frostia,Frostia Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,4677,724.66,191.94,66.67,-83.23,324,12°C,Paris (France),,,citadel,walls,,,,{t1:azure;charges:[{charge:pique;t:argent;p:abc;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stormpelt&population=4677&size=23&seed=5864998610075&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
76,Gruntnok,,,Neutrals,undefined,Manis,The Whisperers,town,13651,2548.63,267.66,57.47,138.44,324,14°C,Washington (D.C.),,,,,,,,{t1:or;charges:[{charge:wheatStalk;t:azure;p:e;t2:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Gruntnok&population=13651&size=35&seed=5864998610076&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
77,Nocturnivox,,,Neutrals,undefined,Crustacean-Kin,The Whisperers,city,3355,254.65,1321.66,-70.63,-140.35,441,15°C,Rome (Italy),,,citadel,walls,,temple,shanty town,{t1:masoned-argent-sable;charges:[{charge:bowWithThreeArrows;t:azure;p:e;t2:gules;t3:gules;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Nocturnivox&population=3355&size=20&seed=5864998610077&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=1&gates=-1&style=natural
78,Emberglide,,,Neutrals,undefined,Weeping Mangroves,Siren Song,city,3431,695.58,356.69,46.65,-86.76,400,16°C,Dubrovnik (Croatia),,,citadel,,,,,{t1:or;ordinaries:[{ordinary:bordure;t:gules}];charges:[{charge:sunInSplendour2;t:or;p:ABCDEFGHIJKL;size:0.18};{charge:lozengePloye;t:purpure;p:e;size:1.1}];shield:heater},https://watabou.github.io/city-generator/?name=Emberglide&population=3431&size=21&seed=5864998610078&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
79,Shalefang,Frostshria,Frostshria Commune,Sylvania,Sylvanian Commune,Iron-Woods,The Whisperers,capital,21257,818.58,433.4,37.32,-71.82,400,19°C,Marrakesh (Morocco),capital,,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:sable;line:straight}];charges:[{charge:triangle;t:or;p:beh;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shalefang&population=21257&size=41&seed=5864998610079&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
80,Icestal,,,Neutrals,undefined,Canid-Kin,The Whisperers,town,8142,1700.65,241.09,60.7,35.38,289,13°C,Milan (Italy),,port,,,,,,{t1:argent;charges:[{charge:mullet4;t:purpure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Icestal&population=8142&size=29&seed=5864998610080&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=true&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
81,Scutaim,Scutaim,Scutaim Canton,Scute,Scutean Confederacy,Stone-Scales,The Whisperers,town,4561,2464.51,389.08,42.71,128.22,324,18°C,Barcelona (Spain),,,citadel,walls,,,,{t1:purpure;charges:[{charge:flangedMace;t:argent;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutaim&population=4561&size=23&seed=5864998610081&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=true&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural
82,Rusth's,Chainfironia,Chainfironia Shire,Iron Caladra,Iron Caladran Kingdom,Gliding Skinks,The Whisperers,city,58212,482.76,560.71,21.85,-112.63,1936,12°C,Paris (France),,,citadel,walls,plaza,temple,shanty town,{t1:gules;charges:[{charge:bearRampant;t:argent;p:jln;t2:argent;t3:argent;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Rusth%27s&population=58212&size=60&seed=5864998610082&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&style=natural
83,Grun,Grun,Grun Prefecture,Ursine,Ursinean Oligarchy,Ursine,The Whisperers,town,24118,1052.8,694.1,5.64,-43.35,1936,16°C,Dubrovnik (Croatia),,,citadel,walls,plaza,,,{t1:purpure;division:{division:perPale;t:argent;line:straight};charges:[{charge:sceptre;t:or;p:p;size:0.7};{charge:cavalier;t:azure;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Grun&population=24118&size=43&seed=5864998610083&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
84,Stormfeat,,,Neutrals,undefined,Elephant Seals,The Whisperers,town,22846,2247.55,1360.73,-75.38,101.85,324,16°C,Dubrovnik (Croatia),,port,,walls,,,,{t1:azure;charges:[{charge:deerHeadCaboshed;t:or;p:e;t2:or;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Stormfeat&population=22846&size=42&seed=5864998610084&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.66
85,Snowflur,,,Neutrals,undefined,Canid-Kin,The Whisperers,town,3322,1697,214.2,63.97,34.94,441,11°C,Antwerp (Belgium),,,,,,,,{t1:barryBendy-sable-argent;division:{division:perCross;t:or;line:straight};ordinaries:[{ordinary:pallReversed;t:purpure}];shield:heater},https://watabou.github.io/city-generator/?name=Snowflur&population=3322&size=20&seed=5864998610085&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
86,Snowfladowhi,Galia,Galia Republic,Eastern Hounds,Union of Eastern Hounds,Canid-Kin,The Rotting Vessel,city,35763,1500.44,222.72,62.93,11.05,484,12°C,Paris (France),,,citadel,walls,plaza,,,{t1:gules;division:{division:perPale;t:argent;line:nowy};charges:[{charge:wyvern;t:or;p:p;t2:or;t3:or;size:0.7};{charge:anchor;t:purpure;p:q;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Snowfladowhi&population=35763&size=50&seed=5864998610086&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
87,Shalenomsha,Shalenomsha,Shalenomsha Canton,RiverFolk,RiverFolk Trade Company,Small-Paws,The Whisperers,capital,62705,1779.77,1282.68,-65.9,45,324,17°C,Lisbon (Portugal),capital,port,citadel,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:gules;line:wavy}];charges:[{charge:compassRose;t:gules;p:y;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Shalenomsha&population=62705&size=62&seed=5864998610087&river=1&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=0.15
88,Blodclaw,Blodclaw,Blodclaw Tribe,Guirilla,Guirillan Tribes,Small-Paws,The Whisperers,town,3480,645.76,229.6,62.09,-92.82,324,13°C,Milan (Italy),,,,,,,,{t1:sable;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Blodclaw&population=3480&size=21&seed=5864998610088&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
89,Cres,Aete,Aete Province,Prism,Prisman Protectorate,Crows,The Whisperers,capital,72967,2155.46,567.69,21,90.66,324,24°C,Dakar (Senegal),capital,port,citadel,walls,plaza,temple,,{t1:gules;division:{division:perBend;t:argent;line:straight};charges:[{charge:bridge;t:or;p:l;size:0.7};{charge:snake;t:azure;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Cres&population=72967&size=66&seed=5864998610089&river=1&coast=1&farms=0&citadel=1&urban_castle=0&hub=true&plaza=1&temple=1&walls=1&shantytown=0&gates=-1&style=natural
90,Scutabiles,Scutabiles,Scutabiles Canton,Scute,Scutean Confederacy,Stone-Scales,The Whisperers,city,24072,2573.79,584.2,19,141.5,1849,14°C,Washington (D.C.),,port,citadel,walls,plaza,,,{t1:purpure;division:{division:perFess;t:argent;line:straight};charges:[{charge:anchor;t:or;p:e;divided:counter;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Scutabiles&population=24072&size=43&seed=5864998610090&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=true&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural&sea=1.18
91,Asparkshicaf,Marysantia,Marysantia County,Flower Valley,Flower Valley Marches,Corpse-Lilies,The Whisperers,capital,32541,1616.83,1153.36,-50.18,25.2,961,16°C,Dubrovnik (Croatia),capital,,citadel,walls,plaza,,,{t1:azure;ordinaries:[{ordinary:orle;t:or}];charges:[{charge:mullet4;t:argent;p:ken;size:0.4}];shield:heater},https://watabou.github.io/city-generator/?name=Asparkshicaf&population=32541&size=48&seed=5864998610091&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1&style=natural
92,Xyrax,,,Neutrals,undefined,Walrus-Kin,The Whisperers,town,3215,2225.3,1148.91,-49.64,99.15,2025,9°C,Copenhagen (Denmark),,,,,,,,{t1:azure;charges:[{charge:goat;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:heater},https://watabou.github.io/city-generator/?name=Xyrax&population=3215&size=20&seed=5864998610092&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&style=natural
